posx,posy,ang
999,284,-145.27
999,284,-145.39
999,284,-146.13
999,284,-146.93
999,284,-147.42
999,284,-147.53
999,284,-147.37
999,284,-147.13
999,284,-147.35
999,284,-147.75
999,284,-148.09
999,284,-147.41
999,284,-147.26
999,284,-147.49
999,284,-147.83
999,284,-147.68
999,284,-146.89
999,284,-146.90
999,284,-147.36
999,284,-147.90
999,284,-147.83
999,284,-147.45
999,284,-147.04
999,284,-146.78
999,284,-146.72
999,284,-147.22
999,284,-147.42
999,284,-147.78
999,284,-147.66
999,284,-147.32
999,284,-146.57
999,284,-146.31
999,284,-146.45
999,284,-146.76
999,284,-147.04
999,284,-147.19
999,284,-147.19
999,284,-147.53
999,284,-147.51
999,284,-147.70
999,284,-147.52
999,284,-147.20
999,284,-147.34
999,284,-147.70
1000,284,-148.04
1000,284,-148.22
1000,284,-148.23
1000,285,-148.14
1000,285,-148.03
1001,285,-147.95
1001,285,-148.35
1001,285,-148.85
1001,286,-148.79
1002,286,-148.42
1002,287,-148.03
1004,288,-148.63
1006,290,-149.97
1006,290,-151.18
1008,293,-152.23
1011,296,-151.07
1011,296,-149.11
1013,300,-148.76
1017,304,-147.40
1021,308,-148.12
1021,308,-149.74
1024,312,-150.79
1028,317,-151.07
1028,317,-150.79
1032,322,-147.37
1036,327,-145.64
1036,327,-145.62
1041,332,-144.51
1045,337,-142.40
1045,337,-140.59
1050,342,-139.28
1056,347,-136.74
1062,352,-130.77
1062,352,-125.30
1069,356,-119.48
1075,358,-112.97
1079,359,-105.85
1083,359,-98.01
1083,359,-93.02
1086,360,-87.60
1088,360,-80.85
1091,360,-72.81
1091,359,-65.70
1093,360,-62.10
1094,360,-60.39
1099,359,-59.64
1099,359,-59.78
1103,358,-59.95
1107,358,-60.07
1107,358,-60.11
1111,356,-55.91
1115,355,-54.76
1119,354,-55.86
1119,354,-57.81
1123,353,-59.45
1128,352,-60.21
1128,352,-60.15
1133,351,-60.05
1137,350,-61.64
1140,349,-65.65
1144,348,-70.63
1144,348,-74.10
1147,347,-77.75
1150,347,-85.00
1153,346,-96.74
1153,346,-106.19
1156,347,-114.54
1156,347,-118.75
1159,347,-122.57
1162,349,-127.06
1165,351,-132.99
1165,351,-137.28
1167,353,-140.92
1170,355,-145.16
1170,355,-147.98
1172,357,-149.21
1173,359,-151.93
1173,361,-157.30
1173,361,-161.98
1174,363,-165.96
1174,364,-169.13
1174,364,-170.50
1174,365,-171.09
1174,367,-171.81
1174,367,-172.31
1174,367,-173.31
1174,367,-174.18
1174,367,-174.61
1175,370,-174.61
1175,370,-174.35
1175,373,-174.47
1176,377,-174.77
1176,377,-175.03
1176,381,-174.76
1177,386,-174.70
1178,391,-175.21
1178,397,-175.84
1178,397,-176.27
1178,403,-176.41
1179,409,-176.74
