posx,posy,ang
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315018,3311700
1000,3315018,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3320718,3317400
1000,3320718,3317400
1000,3320718,3317400
1000,3326418,3323100
1000,3337818,3334500
1000,3349218,3345900
1000,3349218,3345900
1000,3360615,3357300
1000,3372015,3368700
1000,3383412,3380100
1000,3383412,3380100
1000,3394812,3391500
1000,3406212,3402900
1000,3417609,3414300
1000,3429009,3425700
1000,3446106,3442800
1000,3446106,3442800
1000,3463203,3459900
1000,3480294,3477000
1000,3497388,3494100
1000,3497388,3494100
1000,3514479,3511200
1000,3531567,3528300
1000,3542952,3539700
1000,3548637,3545400
1000,3548637,3545400
1000,3548619,3545400
1000,3542904,3539700
1000,3531489,3528300
1000,3520077,3516900
1000,3520077,3516900
1000,3497265,3494100
1000,3480159,3477000
1000,3480159,3477000
1000,3457353,3454200
1000,3434550,3431400
1000,3406047,3402900
1000,3371847,3368700
1000,3371847,3368700
1000,3343347,3340200
1000,3309156,3306000
1000,3309156,3306000
1000,3286365,3283200
1000,3263577,3260400
1000,3246492,3243300
1000,3246492,3243300
1000,3235107,3231900
1000,3235122,3231900
1000,3229434,3226200
1000,3229434,3226200
1000,3235146,3231900
1000,3246561,3243300
1000,3246561,3243300
1000,3257973,3254700
1000,3269388,3266100
1000,3297900,3294600
1000,3297900,3294600
1000,3326409,3323100
1000,3354915,3351600
1000,3389118,3385800
1000,3389118,3385800
1000,3417615,3414300
1000,3446112,3442800
1000,3474606,3471300
1000,3474606,3471300
1000,3491697,3488400
1000,3508788,3505500
1000,3525876,3522600
1000,3525876,3522600
1000,3537261,3534000
1000,3548646,3545400
1000,3554328,3551100
1000,3554328,3551100
1000,3548610,3545400
1000,3531489,3528300
1000,3508668,3505500
1000,3508668,3505500
1000,3497250,3494100
1000,3491529,3488400
1000,3491529,3488400
1000,3491514,3488400
1000,3491496,3488400
1000,3491496,3488400
1000,3502881,3499800
1000,3514266,3511200
1000,3531354,3528300
1000,3531354,3528300
1000,3531354,3528300
1000,3576930,3573900
1000,3605424,3602400
1000,3605424,3602400
1000,3633918,3630900
1000,3662412,3659400
1000,3662412,3659400
1000,3696609,3693600
1000,3730812,3727800
1000,3730812,3727800
1000,3770721,3767700
1000,3799233,3796200
1000,3827748,3824700
1000,3827748,3824700
1000,3850563,3847500
1000,3867684,3864600
1000,3873402,3870300
1000,3873402,3870300
1000,3879123,3876000
1000,3873441,3870300
1000,3862065,3858900
1000,3862065,3858900
1000,3844983,3841800
1000,3816501,3813300
1000,3788013,3784800
1000,3788013,3784800
1000,3753822,3750600
1000,3713928,3710700
1000,3713928,3710700
1000,3674031,3670800
1000,3634131,3630900
1000,3634131,3630900
1000,3599925,3596700
1000,3565716,3562500
1000,3531504,3528300
1000,3531504,3528300
1000,3502989,3499800
1000,3480171,3477000
1000,3468756,3465600
1000,3468756,3465600
1000,3463032,3459900
1000,3451608,3448500
1000,3457281,3454200
1000,3457254,3454200
1000,3457254,3454200
1000,3451527,3448500
1000,3440100,3437100
1000,3428673,3425700
1000,3411555,3408600
1000,3411555,3408600
1000,3394440,3391500
1000,3388740,3385800
1000,3377334,3374400
1000,3354525,3351600
1000,3354525,3351600
1000,3337416,3334500
1000,3308913,3306000
1000,3286113,3283200
1000,3286113,3283200
1000,3263310,3260400
1000,3234813,3231900
1000,3212019,3209100
1000,3212019,3209100
1000,3194928,3192000
1000,3177831,3174900
1000,3149343,3146400
1000,3149343,3146400
1000,3120858,3117900
1000,3086676,3083700
1000,3058197,3055200
1000,3024018,3021000
1000,3024018,3021000
1000,2984142,2981100
1000,2955669,2952600
1000,2955669,2952600
1000,2921499,2918400
1000,2893026,2889900
1000,2853156,2850000
1000,2853156,2850000
1000,2818986,2815800
1000,2784813,2781600
1000,2750643,2747400
1000,2750643,2747400
1000,2705070,2701800
1000,2665203,2661900
1000,2613930,2610600
1000,2613930,2610600
1000,2551251,2547900
1000,2494263,2490900
1000,2494263,2490900
1000,2465772,2462400
1000,2460078,2456700
1000,2460078,2456700
1000,2460078,2456700
1000,2431575,2428200
1000,2397378,2394000
1000,2397378,2394000
1000,2351778,2348400
1000,2306181,2302800
1000,2254884,2251500
1000,2254884,2251500
1000,2197887,2194500
1000,2140890,2137500
1000,2140890,2137500
1000,2083893,2080500
1000,2021196,2017800
1000,1964199,1960800
1000,1964199,1960800
1000,1901505,1898100
1000,1833108,1829700
1000,1764711,1761300
1000,1702008,1698600
1000,1696311,1692900
1000,1627908,1624500
1000,1559505,1556100
1000,1559505,1556100
1000,1479702,1476300
1000,1411302,1407900
1000,1337199,1333800
1000,1337199,1333800
1000,1257399,1254000
1000,1188999,1185600
1000,1114899,1111500
1000,1035102,1031700
1000,1035102,1031700
1000,961002,957600
1000,892602,889200
1000,892602,889200
1000,824196,820800
1000,738690,735300
1000,664587,661200
1000,664587,661200
1000,664587,661200
1000,664587,661200
1000,430878,427500
1000,356775,353400
1000,356775,353400
1000,356775,353400
1000,356775,353400
1000,219804,216600
1000,242610,239400
1000,265404,262200
1000,265404,262200
1000,288195,285000
1000,310989,307800
1000,328080,324900
1000,328080,324900
1000,339471,336300
1000,350868,347700
1000,379353,376200
1000,379353,376200
1000,402135,399000
1000,419208,416100
1000,430581,427500
1000,430581,427500
1000,447654,444600
1000,459021,456000
1000,476091,473100
1000,476091,473100
1000,487461,484500
1000,498828,495900
1000,515898,513000
1000,515898,513000
1000,515898,513000
1000,515898,513000
1000,572793,570000
1000,572793,570000
1000,601260,598500
1000,635427,632700
1000,658191,655500
1000,658191,655500
1000,692355,689700
1000,720819,718200
1000,749283,746700
1000,783441,780900
1000,783441,780900
1000,834702,832200
1000,863184,860700
1000,880266,877800
1000,908760,906300
1000,942957,940500
1000,942957,940500
1000,982851,980400
1000,1017051,1014600
1000,1045557,1043100
1000,1045557,1043100
1000,1079766,1077300
1000,1108275,1105800
1000,1108275,1105800
1000,1131090,1128600
1000,1148205,1145700
1000,1159620,1157100
1000,1159620,1157100
1000,1171038,1168500
1000,1165353,1162800
1000,1165353,1162800
1000,1159668,1157100
1000,1148283,1145700
1000,1125501,1122900
1000,1102713,1100100
1000,1102713,1100100
1000,1068522,1065900
1000,1034331,1031700
1000,1000134,997500
1000,960231,957600
1000,960231,957600
1000,920328,917700
1000,880419,877800
1000,851907,849300
1000,851907,849300
1000,829092,826500
1000,811977,809400
1000,794859,792300
1000,794838,792300
1000,794838,792300
1000,794820,792300
1000,800502,798000
1000,817584,815100
1000,840369,837900
1000,868854,866400
1000,868854,866400
1000,908745,906300
1000,948642,946200
1000,977133,974700
1000,977133,974700
1000,1005624,1003200
1000,1028415,1026000
1000,1039803,1037400
1000,1039803,1037400
1000,1056894,1054500
1000,1068282,1065900
